how's your mother?	hur mår din mor?
i wish you a happy new year.	jag önskar er ett gott nytt år.
tom's speech was quite entertaining.	toms tal var rätt underhållande.
i think that tom will come to boston on october 20th.	jag tror att tom ska komma till boston den 20:e oktober.
it's all we have.	det är allt vi har.
we are a family.	vi är en familj.
do you enjoy losing?	njuter du av att förlora?
tom was not apologetic.	tom var inte ursäktande.
which ball is the smallest?	vilken boll är minst?
she invited me.	hon bjöd in mig.
tom answered the question.	tom besvarade frågan.
it is a likely outcome.	det är en sannolik utkomst.
hello! can you hear me?	hallå! hör du mig?
we're going to send her home.	vi kommer att skicka hem henne.
we stayed at home last night.	vi stannade hemma igår kväll.
i'm headed that way.	jag är på väg åt det hållet.
how's school?	hur går det med skolan?
my dream is still just a dream.	min dröm är fortfarande bara en dröm.
the garbage is giving off a terrible smell.	soporna ger ifrån sig en förfärlig stank.
i confess my translation is not perfect.	jag erkänner att min översättning inte är perfekt.
have you ever heard of nessie?	har du någonsin hört talas om nessie?
tom knew i was right.	tom visste att jag hade rätt.
i have only been there once.	jag har bara varit där en gång.
i've won.	jag vann.
i can't find that setting.	jag hittar inte den inställningen.
i saw an opportunity.	jag såg en möjlighet.
i like this place.	jag gillar den här platsen.
i feel so helpless.	jag känner mig så hjälplös.
close your eyes.	blunda.
i'd die without you.	jag skulle dö utan er.
you have to read between the lines.	du måste läsa mellan raderna.
i think i don't deserve you.	jag tror att jag inte förtjänar dig.
i've been a lot worse.	jag har varit sämre.
why don't you just let tom help?	varför låter ni inte bara tom hjälpa till?
i think i know what this is.	jag tror jag vet vad det här är.
what's your name again?	vad hette du nu igen?
are you twins?	är ni tvillingar?
you should've quit earlier.	du borde ha slutat tidigare.
i hesitate a little.	jag tvekar lite.
the king of sweden's only son is married to one of herbert's daughters.	sveriges kungs enda son är gift med en av herberts döttrar.
you can't be late this time.	ni får inte komma för sent denna gång.
you guys are dangerous.	ni är farliga.
i wonder what is going to happen.	jag undrar vad som kommer att hända.
i thought i heard music.	jag trodde att jag hörde musik.
john should be here any minute now.	john borde vara här när som helst nu.
i ran out of money during my stay in india.	jag fick slut på pengar när jag var på besök i indien.
i really appreciate your kindness.	jag uppskattar verkligen din vänlighet.
long live algeria!	länge leve algeriet!
do you want the top or bottom bunk?	vill du ha överslafen eller bottenslafen?
nobody is too old to learn.	ingen är för gammal för att lära sig.
they hurried out of the room.	de skyndade sig ut ur rummet.
this is a sentence that has the syllable count of a good haiku.	här är en mening, med stavelseantalet, som i en haiku.
what can be done against it?	vad kan man göra åt det?
all is well that ends well.	slutet gott, allting gott.
tom's fast.	tom är snabb.
a cat sleeps on a chair.	en katt sover på en stol.
well, it's time for your decapitation. don't you have any last words to say?	då är det dags för din halshuggning. har du inga sista ord?
what exactly is it you think tom did?	vad exakt är det du tror att tom gjorde?
who broke this?	vem förstörde det här?
can you find it?	kan du hitta den?
i've seen an article on the tatoeba blog about a new version coming soon. have you read it?	jag har sett en artikel på tatoebabloggen om en ny version som ska komma ut snart. har du läst den?
they bought it.	de köpte den.
when pc problems slow you down, what can you do?	när pc-fel saktar ner dig, vad kan du göra?
who reported the robbery?	vem anmälde rånet?
they say that he was born in germany.	det sägs att han föddes i tyskland.
take only one.	ta bara en.
do you know the man who was talking to me?	känner du mannen som pratade med mig?
a rocket needs about ten minutes to get into orbit.	en raket behöver ungefär tio minuter för att gå i omloppsbana.
she's awesome.	hon är grym.
you know him better than i do.	du känner honom bättre än jag.
he wrote a book just by using his imagination.	han skrev en bok bara genom att använda sin fantasi.
to philosophize is to learn how to die.	att filosofera är att lära sig dö.
you look tired, so you should go to bed early.	ni ser trötta ut, så ni borde gå och lägga er tidigt.
mary was tom's girlfriend a few years ago.	mary var toms flickvän för ett par år sedan.
bananas are delicious.	bananer är goda.
our new neighbor plays the violin.	vår nya granne spelar fiol.
i can't allow that.	jag kan inte tillåta det.
i know all this.	jag vet allt detta.
ziri fed the fish.	ziri matade fiskarna.
this is the very book that i have long wanted to read.	det är just den boken som jag har väntat så länge på för att läsa.
i don't like this song.	jag tycker inte om den här låten.
i thought you quit.	jag trodde att du slutade.
let me alone.	lämna mig ensam.
i turned the microphone off.	jag stängde av mikrofonen.
is it hot outside?	är det varmt ute?
i would like something to drink.	jag skulle vilja ha något att dricka.
tom is a natural athlete.	tom har stor fallenhet för idrott.
i just want someone to talk with.	jag vill bara ha någon att prata med.
i know the song.	jag kan låten.
we both went to the concert.	vi gick till konserten båda två.
he tires easily.	han blir lätt trött.
get changed.	byt om.
she started crying.	hon började gråta.
i added new sentences.	jag la till nya meningar.
there is a book on the table.	det ligger en bok på bordet.
i read his book.	jag läser hans bok.
don't make fun of him because he cannot write his name.	reta inte honom för att han inte kan skriva sitt namn.
you could've gone.	du kunde ha stuckit.
my language is not on the list!	mitt språk är inte med på listan!
i slept twelve hours yesterday.	jag sov tolv timmar igår.
can you show me one more time?	kan du visa mig en gång till?
once we thought that man couldn't fly.	en gång i tiden trodde man att människor inte kunde flyga.
leave me alone.	lämna mig i fred.
you know i need you.	du vet att jag behöver dig.
tom could hardly walk.	tom kunde knappt gå.
i should've read the instructions.	jag borde ha läst anvisningarna.
i need an answer now.	jag behöver ett svar nu.
i saw the fight.	jag såg slagsmålet.
i didn't know anything about sami.	jag visste inget om sami.
you'll like him once you've had a chance to talk to him.	du kommer gilla honom så fort du fått chansen att prata med honom.
i don't think i know anyone who can speak french.	jag tror inte att jag känner någon som kan tala franska.
do i look ok?	ser jag ok ut?
everything could be so beautiful.	allt kunde vara så vackert.
i like challenges.	jag gillar utmaningar.
tom cut his own hair.	tom klippte sitt eget hår.
i often eat here.	jag äter ofta här.
tom said that mary was too fat.	tom sa att mary var för tjock.
do you speak japanese?	pratar du japanska?
do you sell bread here?	säljer ni bröd här?
you own a car, don't you?	ni äger en bil, inte sant?
be nicer to your sister.	var trevligare mot er syster.
i thought you went home.	jag trodde att ni åkte hem.
how long does it take on foot?	hur länge tar det till fots?
you don't have to come here every day.	ni måste inte komma hit varje dag.
tom hasn't forgotten you.	tom har inte glömt dig.
i should've been more honest with tom.	jag borde ha varit ärligare med tom.
why are we celebrating?	varför firar vi?
i am a duck. i speak english.	jag är en anka. jag talar engelska.
enough is enough!	det är nog nu!
where's my backpack?	var är min ryggsäck?
i began to panic.	jag började gripas av panik.
oh, now i understand.	åh, nu förstår jag.
tom couldn't care less about john's meaningless chatter about yesterday's hockey match.	tom kunde inte bry sig mindre om jons meningslösa pladder om gårdagens hockeymatch.
technically hiragana is a syllabary, not an alphabet.	tekniskt sett är hiragana en stavelseskrift, inte ett alfabet.
tom can come with you if he wants to.	tom kan komma med dig om han vill.
you didn't seem to understand what tom was saying.	du verkade inte förstå vad tom sa.
i don't like garlic.	jag gillar inte vitlök.
how was hawaii?	hur var hawaii?
have i lost my mind?	har jag blivit galen?
people shouldn't be allowed to invade countries whose names they can't pronounce correctly.	folk borde inte tillåtas invadera länder vars namn de inte kan uttala.
it's tom.	det är tom.
done.	färdig.
did marika speak swedish?	talade marika svenska?
he tried putting on his new shoes.	han försökte ta på sig sina nya skor.
can you repeat that?	kan du säga det igen?
how you've grown!	vad du har växt!
i tried to guess tom's weight.	jag försökte gissa toms vikt.
it's an old computer.	det är en gammal dator.
i don't feel like it now.	jag känner inte för det just nu.
tom had nothing.	tom hade ingenting.
i lost my sunglasses.	jag tappade bort mina solglasögon.
tom doesn't always wear a hat.	tom bär inte alltid hatt.
if i were you, i'd re-read the contract.	om jag var du skulle jag läsa kontraktet igen.
they make toys at this factory.	man gör leksaker i den här fabriken.
tom abandoned his dream of becoming an oceanographer.	tom gav upp sin dröm om att bli djuphavsforskare.
it keeps raining.	det fortsätter att regna.
her dream is over.	hennes dröm är över.
how are you washing the blue blanket?	hur tvättar du den blåa filten?
you disappoint me.	du gör mig besviken.
i stole it from tom.	jag stal den från tom.
love is like the moon; when it does not wax, it wanes.	kärlek är som månen; när den inte är i tilltagande är den i avtagande.
i returned from school.	jag återvände från skolan.
i'll buy you something.	jag köper något till dig.
she felt uneasy at the thought of her future.	hon kände sig illa till mods vid tanken på hennes framtid.
